CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,165;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,083;0,023
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,165;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;5,000;0,106;0,413;0,097
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,083;0,008
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,083;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,083;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,083;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,083;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;4,000;0,117;0,330;0,104
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,083;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,165;0,051
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,165;0,037
SP00041;SP;4585,000;3191,000;1394,000;2950,000;4,000;0,136;0,330;0,125
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,165;0,068
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,083;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,083;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,083;0,016
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,083;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,083;0,032
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,083;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,083;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,083;0,027
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,165;0,067
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,083;0,052
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,083;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,083;0,010
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,083;0,019
