CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,141;0,028
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,141;0,019
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,141;0,016
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,141;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,141;0,028
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,281;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,141;0,008
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,141;0,016
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,141;0,030
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,141;0,016
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,141;0,028
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,141;0,025
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,141;0,025
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,141;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,141;0,010
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;0,281;0,054
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,141;0,011
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,141;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,141;0,020
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,141;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,141;0,021
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,141;0,035
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,141;0,030
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,141;0,043
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,141;0,029
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,141;0,027
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,281;0,027
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,141;0,012
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,141;0,020
SP00125;SP;8768,000;6055,000;2713,000;5539,000;2,000;0,036;0,281;0,033
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,281;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,141;0,028
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,141;0,018
