CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,840;0,017
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;1,681;0,064
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,840;0,016
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,840;0,037
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,840;0,015
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,840;0,020
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,840;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,840;0,013
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,840;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,840;0,019
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;0,840;0,057
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,840;0,023
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,840;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,840;0,030
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,840;0,033
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,840;0,064
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,840;0,031
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,840;0,036
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,840;0,045
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,840;0,044
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,840;0,037
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,840;0,028
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,840;0,050
SP00401;SP;6075,000;4286,000;1789,000;3723,000;3,000;0,081;2,521;0,070
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,840;0,020
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,840;0,024
SP00474;SP;5075,000;3543,000;1532,000;3133,000;2,000;0,064;1,681;0,056
SP00479;SP;2742,000;2051,000;691,000;1807,000;1,000;0,055;0,840;0,049
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,840;0,014
SP00587;SP;3697,000;2586,000;1111,000;2332,000;1,000;0,043;0,840;0,039
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,840;0,029
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;0,840;0,026
SP00639;SP;9027,000;6272,000;2755,000;5745,000;2,000;0,035;1,681;0,032
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,840;0,038
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;0,840;0,020
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,840;0,015
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,840;0,031
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,840;0,020
SP00689;SP;6259,000;4395,000;1864,000;3885,000;1,000;0,026;0,840;0,023
SP00697;SP;4338,000;3181,000;1157,000;2881,000;1,000;0,035;0,840;0,031
SP00700;SP;2038,000;1296,000;742,000;1148,000;2,000;0,174;1,681;0,154
SP00731;SP;4685,000;3466,000;1219,000;3004,000;1,000;0,033;0,840;0,029
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,840;0,015
