CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,264;0,041
SP00008;SP;4250,000;2710,000;1540,000;2422,000;3,000;0,124;0,395;0,111
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,132;0,019
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,132;0,036
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,132;0,018
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,132;0,020
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,132;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,132;0,021
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,132;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,132;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,264;0,036
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,132;0,027
SP00151;SP;4988,000;3688,000;1300,000;3066,000;2,000;0,065;0,264;0,054
SP00153;SP;6503,000;4705,000;1798,000;3830,000;3,000;0,078;0,395;0,064
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,132;0,023
SP00156;SP;7080,000;4869,000;2211,000;4038,000;4,000;0,099;0,527;0,082
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,132;0,108
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,132;0,025
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,132;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;4,000;0,096;0,527;0,080
SP00164;SP;5864,000;4364,000;1500,000;3543,000;4,000;0,113;0,527;0,092
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,132;0,026
SP00167;SP;6528,000;4883,000;1645,000;3930,000;3,000;0,076;0,395;0,061
SP00168;SP;4204,000;3050,000;1154,000;2550,000;3,000;0,118;0,395;0,098
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,132;0,020
SP00170;SP;3660,000;2732,000;928,000;2322,000;2,000;0,086;0,264;0,073
SP00174;SP;4271,000;3221,000;1050,000;2581,000;2,000;0,077;0,264;0,062
SP00175;SP;4700,000;3395,000;1305,000;2728,000;3,000;0,110;0,395;0,088
SP00176;SP;4725,000;3530,000;1195,000;2946,000;3,000;0,102;0,395;0,085
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,132;0,022
SP00178;SP;8552,000;6363,000;2189,000;5204,000;4,000;0,077;0,527;0,063
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,132;0,175
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,132;0,180
SP00189;SP;5717,000;3833,000;1884,000;3381,000;2,000;0,059;0,264;0,052
SP00190;SP;9191,000;6215,000;2976,000;5565,000;3,000;0,054;0,395;0,048
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,132;0,040
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,132;0,014
SP00203;SP;7005,000;4837,000;2168,000;4332,000;3,000;0,069;0,395;0,062
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,132;0,029
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,132;0,039
