CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,103;0,015
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,103;0,024
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,103;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,103;0,031
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,207;0,073
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,103;0,052
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,103;0,031
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,103;0,023
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,103;0,028
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,103;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,103;0,027
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,207;0,067
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,103;0,043
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,103;0,024
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,103;0,044
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,103;0,036
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,103;0,026
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,103;0,033
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,103;0,016
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,103;0,025
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,103;0,032
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,103;0,032
SP00301;SP;3036,000;2157,000;879,000;1924,000;1,000;0,052;0,103;0,046
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,103;0,031
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,103;0,067
SP00324;SP;4770,000;3319,000;1451,000;2949,000;3,000;0,102;0,310;0,090
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,103;0,032
SP00333;SP;2049,000;1351,000;698,000;1203,000;1,000;0,083;0,103;0,074
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,103;0,027
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,207;0,037
SP00348;SP;4643,000;3365,000;1278,000;3024,000;2,000;0,066;0,207;0,059
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,103;0,036
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,103;0,044
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,103;0,035
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,103;0,033
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,103;0,031
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;0,103;0,032
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,103;0,052
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,103;0,026
SP00479;SP;2742,000;2051,000;691,000;1807,000;1,000;0,055;0,103;0,049
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,103;0,020
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,103;0,020
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,103;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,103;0,014
SP00513;SP;4106,000;2993,000;1113,000;2609,000;2,000;0,077;0,207;0,067
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,103;0,024
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,103;0,029
SP00522;SP;4695,000;3519,000;1176,000;2921,000;4,000;0,137;0,414;0,114
SP00523;SP;4290,000;3229,000;1061,000;2690,000;1,000;0,037;0,103;0,031
SP00554;SP;5499,000;4102,000;1397,000;3446,000;2,000;0,058;0,207;0,049
SP00575;SP;1945,000;1339,000;606,000;1078,000;3,000;0,278;0,310;0,224
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,103;0,033
SP00721;SP;3054,000;2197,000;857,000;1978,000;1,000;0,051;0,103;0,046
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,103;0,021
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,103;0,015
SP00777;SP;5853,000;4038,000;1815,000;3381,000;2,000;0,059;0,207;0,050
SP00778;SP;7392,000;5180,000;2212,000;4241,000;1,000;0,024;0,103;0,019
SP00782;SP;6626,000;4932,000;1694,000;4068,000;2,000;0,049;0,207;0,041
SP00805;SP;6882,000;4879,000;2003,000;4246,000;3,000;0,071;0,310;0,061
SP00806;SP;5119,000;3556,000;1563,000;3097,000;2,000;0,065;0,207;0,056
SP00807;SP;4221,000;2943,000;1278,000;2555,000;2,000;0,078;0,207;0,068
SP00808;SP;5967,000;4362,000;1605,000;3844,000;2,000;0,052;0,207;0,046
SP00809;SP;4931,000;3684,000;1247,000;3295,000;1,000;0,030;0,103;0,027
SP00811;SP;4790,000;3322,000;1468,000;2896,000;1,000;0,035;0,103;0,030
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;0,103;0,027
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,103;0,043
SP00818;SP;4699,000;3648,000;1051,000;3126,000;6,000;0,192;0,620;0,164
SP00825;SP;3960,000;3079,000;881,000;2727,000;3,000;0,110;0,310;0,097
SP00827;SP;7530,000;5704,000;1826,000;4991,000;1,000;0,020;0,103;0,018
SP00830;SP;1919,000;1541,000;378,000;1355,000;1,000;0,074;0,103;0,065
SP00831;SP;3038,000;2306,000;732,000;1971,000;1,000;0,051;0,103;0,043
SP00832;SP;4365,000;3114,000;1251,000;2744,000;3,000;0,109;0,310;0,096
SP00833;SP;5058,000;3636,000;1422,000;3107,000;2,000;0,064;0,207;0,055
SP00834;SP;3451,000;2534,000;917,000;2279,000;1,000;0,044;0,103;0,039
SP00836;SP;4922,000;3424,000;1498,000;2884,000;2,000;0,069;0,207;0,058
SP00837;SP;2272,000;1787,000;485,000;1553,000;4,000;0,258;0,414;0,224
SP00838;SP;4893,000;3681,000;1212,000;3136,000;1,000;0,032;0,103;0,027
SP00840;SP;990,000;792,000;198,000;676,000;2,000;0,296;0,207;0,253
SP00841;SP;6587,000;5004,000;1583,000;4195,000;1,000;0,024;0,103;0,020
SP00842;SP;6278,000;4306,000;1972,000;3669,000;4,000;0,109;0,414;0,093
SP00886;SP;3614,000;2519,000;1095,000;2153,000;1,000;0,046;0,103;0,040
SP00887;SP;2549,000;1778,000;771,000;1536,000;1,000;0,065;0,103;0,056
SP00890;SP;6506,000;4670,000;1836,000;4087,000;2,000;0,049;0,207;0,043
SP00893;SP;4866,000;3614,000;1252,000;3170,000;1,000;0,032;0,103;0,028
SP00907;SP;3598,000;2756,000;842,000;2283,000;3,000;0,131;0,310;0,109
SP00920;SP;6672,000;4828,000;1844,000;3916,000;2,000;0,051;0,207;0,041
SP00924;SP;5898,000;4232,000;1666,000;3558,000;2,000;0,056;0,207;0,047
SP01034;SP;3909,000;2923,000;986,000;2528,000;1,000;0,040;0,103;0,034
SP01058;SP;5074,000;3597,000;1477,000;3098,000;1,000;0,032;0,103;0,028
SP01159;SP;2758,000;2109,000;649,000;1753,000;1,000;0,057;0,103;0,047
SP01176;SP;8236,000;5751,000;2485,000;4720,000;1,000;0,021;0,103;0,017
SP01232;SP;4544,000;3180,000;1364,000;2674,000;2,000;0,075;0,207;0,063
SP01286;SP;5329,000;4185,000;1144,000;3573,000;2,000;0,056;0,207;0,048
SP01303;SP;4518,000;3486,000;1032,000;2977,000;1,000;0,034;0,103;0,029
SP01314;SP;4826,000;3450,000;1376,000;2922,000;1,000;0,034;0,103;0,029
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;0,103;0,016
SP01367;SP;4323,000;3020,000;1303,000;2537,000;1,000;0,039;0,103;0,033
SP01368;SP;6668,000;5077,000;1591,000;4150,000;1,000;0,024;0,103;0,020
SP01414;SP;11881,000;8889,000;2992,000;7501,000;1,000;0,013;0,103;0,011
SP01430;SP;2960,000;2182,000;778,000;1879,000;1,000;0,053;0,103;0,046
SP01462;SP;7003,000;5161,000;1842,000;4135,000;1,000;0,024;0,103;0,019
SP01474;SP;7185,000;5083,000;2102,000;4320,000;1,000;0,023;0,103;0,020
SP01476;SP;4315,000;3049,000;1266,000;2546,000;1,000;0,039;0,103;0,033
SP01482;SP;6480,000;4781,000;1699,000;3882,000;2,000;0,052;0,207;0,042
SP01494;SP;6825,000;4925,000;1900,000;4104,000;1,000;0,024;0,103;0,020
