CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;11,000;0,181;0,326;0,166
SP00002;SP;8476,000;5539,000;2937,000;5059,000;7,000;0,138;0,207;0,126
SP00003;SP;6223,000;3562,000;2661,000;3191,000;5,000;0,157;0,148;0,140
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,059;0,049
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,059;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,030;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;5,000;0,098;0,148;0,087
SP00009;SP;5809,000;3876,000;1933,000;3552,000;9,000;0,253;0,267;0,232
SP00010;SP;9269,000;6039,000;3230,000;5553,000;13,000;0,234;0,385;0,215
SP00011;SP;7822,000;5249,000;2573,000;4769,000;8,000;0,168;0,237;0,152
SP00012;SP;9441,000;6116,000;3325,000;5498,000;4,000;0,073;0,119;0,065
SP00013;SP;4269,000;2958,000;1311,000;2742,000;6,000;0,219;0,178;0,203
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,030;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,030;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,059;0,048
SP00018;SP;5238,000;3256,000;1982,000;2906,000;3,000;0,103;0,089;0,092
SP00019;SP;4798,000;3546,000;1252,000;3272,000;6,000;0,183;0,178;0,169
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,059;0,073
SP00023;SP;2029,000;1448,000;581,000;1264,000;3,000;0,237;0,089;0,207
SP00025;SP;3193,000;2227,000;966,000;2052,000;4,000;0,195;0,119;0,180
SP00027;SP;3011,000;1933,000;1078,000;1784,000;3,000;0,168;0,089;0,155
SP00028;SP;8070,000;5175,000;2895,000;4726,000;6,000;0,127;0,178;0,116
SP00029;SP;17797,000;12599,000;5198,000;11769,000;51,000;0,433;1,512;0,405
SP00030;SP;2911,000;1924,000;987,000;1764,000;2,000;0,113;0,059;0,104
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,059;0,047
SP00032;SP;11991,000;8507,000;3484,000;8030,000;43,000;0,535;1,274;0,505
SP00033;SP;7735,000;5271,000;2464,000;4792,000;5,000;0,104;0,148;0,095
SP00034;SP;5401,000;3246,000;2155,000;2941,000;3,000;0,102;0,089;0,092
SP00035;SP;5608,000;3859,000;1749,000;3432,000;6,000;0,175;0,178;0,155
SP00036;SP;6716,000;4776,000;1940,000;4457,000;14,000;0,314;0,415;0,293
SP00037;SP;5446,000;3922,000;1524,000;3606,000;4,000;0,111;0,119;0,102
SP00038;SP;8044,000;5650,000;2394,000;5177,000;9,000;0,174;0,267;0,159
SP00039;SP;6391,000;4336,000;2055,000;3981,000;8,000;0,201;0,237;0,185
SP00040;SP;7288,000;5434,000;1854,000;4999,000;11,000;0,220;0,326;0,202
SP00041;SP;4585,000;3191,000;1394,000;2950,000;9,000;0,305;0,267;0,282
SP00042;SP;3797,000;2921,000;876,000;2677,000;7,000;0,261;0,207;0,240
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,059;0,091
SP00044;SP;7789,000;5743,000;2046,000;5331,000;15,000;0,281;0,445;0,261
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;0,059;0,079
SP00046;SP;8211,000;6097,000;2114,000;5678,000;18,000;0,317;0,533;0,295
SP00047;SP;4672,000;3348,000;1324,000;3050,000;5,000;0,164;0,148;0,149
SP00048;SP;5609,000;4361,000;1248,000;4021,000;5,000;0,124;0,148;0,115
SP00049;SP;2731,000;2018,000;713,000;1902,000;7,000;0,368;0,207;0,347
SP00050;SP;1956,000;1443,000;513,000;1344,000;3,000;0,223;0,089;0,208
SP00051;SP;9919,000;6324,000;3595,000;5895,000;41,000;0,696;1,215;0,648
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,030;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,030;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;4,000;0,125;0,119;0,107
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,030;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,030;0,028
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,030;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,030;0,029
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,030;0,034
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,030;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;3,000;0,085;0,089;0,074
SP00069;SP;2939,000;2032,000;907,000;1793,000;2,000;0,112;0,059;0,098
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,030;0,033
SP00072;SP;4862,000;3103,000;1759,000;2736,000;2,000;0,073;0,059;0,064
SP00073;SP;14871,000;9817,000;5054,000;8895,000;9,000;0,101;0,267;0,092
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,030;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,030;0,019
SP00078;SP;6145,000;4471,000;1674,000;4014,000;3,000;0,075;0,089;0,067
