CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,478;0,019
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,478;0,024
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,478;0,008
SP00038;SP;8044,000;5650,000;2394,000;5177,000;3,000;0,058;1,435;0,053
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,957;0,091
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,478;0,030
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,478;0,108
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,957;0,049
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,478;0,021
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,478;0,035
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,478;0,020
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,478;0,013
SP00151;SP;4988,000;3688,000;1300,000;3066,000;2,000;0,065;0,957;0,054
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,478;0,014
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,478;0,046
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,478;0,030
SP00343;SP;5204,000;3721,000;1483,000;3344,000;2,000;0,060;0,957;0,054
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,478;0,031
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,478;0,050
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,478;0,030
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,478;0,030
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,478;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,478;0,014
SP00510;SP;6209,000;4329,000;1880,000;3594,000;1,000;0,028;0,478;0,023
SP00511;SP;6942,000;4878,000;2064,000;4132,000;4,000;0,097;1,914;0,082
SP00512;SP;7389,000;5163,000;2226,000;4319,000;3,000;0,069;1,435;0,058
SP00514;SP;5514,000;3990,000;1524,000;3430,000;4,000;0,117;1,914;0,100
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,478;0,030
SP00520;SP;3065,000;2185,000;880,000;1832,000;3,000;0,164;1,435;0,137
SP00521;SP;5002,000;3490,000;1512,000;2901,000;18,000;0,620;8,612;0,516
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,478;0,028
SP00523;SP;4290,000;3229,000;1061,000;2690,000;2,000;0,074;0,957;0,062
SP00525;SP;5945,000;4545,000;1400,000;3796,000;2,000;0,053;0,957;0,044
SP00526;SP;3210,000;2393,000;817,000;2007,000;2,000;0,100;0,957;0,084
SP00528;SP;2366,000;1777,000;589,000;1569,000;1,000;0,064;0,478;0,056
SP00529;SP;3155,000;2369,000;786,000;2087,000;1,000;0,048;0,478;0,042
SP00534;SP;4351,000;3409,000;942,000;3003,000;1,000;0,033;0,478;0,029
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;0,478;0,022
SP00538;SP;5278,000;3612,000;1666,000;3064,000;1,000;0,033;0,478;0,028
SP00539;SP;5948,000;4112,000;1836,000;3697,000;4,000;0,108;1,914;0,097
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,478;0,018
SP00544;SP;5536,000;3707,000;1829,000;3265,000;3,000;0,092;1,435;0,081
SP00551;SP;4597,000;3270,000;1327,000;2815,000;3,000;0,107;1,435;0,092
SP00561;SP;4720,000;3508,000;1212,000;2955,000;1,000;0,034;0,478;0,029
SP00565;SP;3148,000;2356,000;792,000;2001,000;1,000;0,050;0,478;0,042
SP00566;SP;3965,000;2993,000;972,000;2499,000;2,000;0,080;0,957;0,067
SP00608;SP;3524,000;2701,000;823,000;2326,000;2,000;0,086;0,957;0,074
SP00653;SP;9758,000;6871,000;2887,000;6317,000;2,000;0,032;0,957;0,029
SP00680;SP;11486,000;8694,000;2792,000;7821,000;3,000;0,038;1,435;0,035
SP00693;SP;4634,000;3251,000;1383,000;2869,000;1,000;0,035;0,478;0,031
SP00713;SP;5464,000;4097,000;1367,000;3538,000;1,000;0,028;0,478;0,024
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;0,478;0,024
SP00833;SP;5058,000;3636,000;1422,000;3107,000;1,000;0,032;0,478;0,028
SP00851;SP;5695,000;3897,000;1798,000;3271,000;1,000;0,031;0,478;0,026
SP00887;SP;2549,000;1778,000;771,000;1536,000;1,000;0,065;0,478;0,056
SP00892;SP;4485,000;3072,000;1413,000;2701,000;2,000;0,074;0,957;0,065
SP00893;SP;4866,000;3614,000;1252,000;3170,000;4,000;0,126;1,914;0,111
SP00903;SP;1833,000;1397,000;436,000;1247,000;1,000;0,080;0,478;0,072
SP00923;SP;5779,000;3898,000;1881,000;3357,000;1,000;0,030;0,478;0,026
SP00926;SP;5575,000;3935,000;1640,000;3387,000;2,000;0,059;0,957;0,051
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;0,478;0,011
SP00973;SP;4361,000;3051,000;1310,000;2752,000;2,000;0,073;0,957;0,066
SP01039;SP;3823,000;2910,000;913,000;2407,000;1,000;0,042;0,478;0,034
SP01120;SP;6954,000;4897,000;2057,000;4084,000;1,000;0,024;0,478;0,020
SP01122;SP;3123,000;2007,000;1116,000;1679,000;1,000;0,060;0,478;0,050
SP01165;SP;3908,000;2796,000;1112,000;2440,000;1,000;0,041;0,478;0,036
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;0,478;0,021
SP01374;SP;3027,000;2274,000;753,000;1892,000;1,000;0,053;0,478;0,044
SP01383;SP;3644,000;2668,000;976,000;2188,000;1,000;0,046;0,478;0,037
SP01475;SP;3961,000;2752,000;1209,000;2310,000;8,000;0,346;3,828;0,291
SP01476;SP;4315,000;3049,000;1266,000;2546,000;5,000;0,196;2,392;0,164
SP01477;SP;6382,000;4456,000;1926,000;3738,000;10,000;0,268;4,785;0,224
SP01478;SP;7765,000;5221,000;2544,000;4345,000;2,000;0,046;0,957;0,038
SP01479;SP;7013,000;5355,000;1658,000;4424,000;1,000;0,023;0,478;0,019
SP01480;SP;6794,000;4702,000;2092,000;3955,000;3,000;0,076;1,435;0,064
SP01482;SP;6480,000;4781,000;1699,000;3882,000;2,000;0,052;0,957;0,042
SP01484;SP;4803,000;3637,000;1166,000;3023,000;16,000;0,529;7,656;0,440
SP01486;SP;6492,000;4955,000;1537,000;4168,000;2,000;0,048;0,957;0,040
SP01488;SP;4853,000;3805,000;1048,000;3190,000;5,000;0,157;2,392;0,131
