CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,690;0,018
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,690;0,045
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,690;0,031
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,690;0,050
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,690;0,028
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,690;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,690;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,690;0,021
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,690;0,028
SP00095;SP;7262,000;5378,000;1884,000;4657,000;7,000;0,150;4,828;0,130
SP00096;SP;3961,000;2845,000;1116,000;2437,000;14,000;0,574;9,655;0,492
SP00097;SP;4480,000;3320,000;1160,000;2831,000;2,000;0,071;1,379;0,060
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,690;0,027
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;1,379;0,060
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,690;0,033
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,690;0,026
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,690;0,031
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,690;0,033
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,690;0,019
SP00419;SP;4961,000;3484,000;1477,000;3096,000;2,000;0,065;1,379;0,057
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,690;0,013
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,690;0,027
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,690;0,036
