CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,149;0,018
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,149;0,024
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,149;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,149;0,020
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,149;0,019
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,149;0,029
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,149;0,018
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,149;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,149;0,023
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,149;0,016
SP00194;SP;8615,000;6268,000;2347,000;5780,000;3,000;0,052;0,448;0,048
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,149;0,014
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,149;0,027
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,299;0,030
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,149;0,028
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,149;0,033
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,149;0,023
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,149;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;3,000;0,090;0,448;0,078
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,149;0,030
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,149;0,049
SP00447;SP;4015,000;3076,000;939,000;2611,000;1,000;0,038;0,149;0,033
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,149;0,031
SP00596;SP;3534,000;2596,000;938,000;2206,000;1,000;0,045;0,149;0,039
SP00608;SP;3524,000;2701,000;823,000;2326,000;1,000;0,043;0,149;0,037
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,149;0,013
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,149;0,018
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,149;0,041
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,149;0,039
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,149;0,028
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;0,149;0,033
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,149;0,030
SP00663;SP;4883,000;3374,000;1509,000;3029,000;1,000;0,033;0,149;0,030
SP00678;SP;3777,000;2815,000;962,000;2493,000;1,000;0,040;0,149;0,036
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,149;0,025
SP00712;SP;7054,000;5112,000;1942,000;4323,000;1,000;0,023;0,149;0,020
SP00713;SP;5464,000;4097,000;1367,000;3538,000;1,000;0,028;0,149;0,024
SP00714;SP;3081,000;2248,000;833,000;1931,000;1,000;0,052;0,149;0,044
SP00727;SP;5267,000;3869,000;1398,000;3416,000;2,000;0,059;0,299;0,052
SP00728;SP;4919,000;3629,000;1290,000;3093,000;4,000;0,129;0,598;0,110
SP00730;SP;5502,000;4153,000;1349,000;3563,000;2,000;0,056;0,299;0,048
SP00731;SP;4685,000;3466,000;1219,000;3004,000;1,000;0,033;0,149;0,029
SP00732;SP;3768,000;2783,000;985,000;2391,000;5,000;0,209;0,747;0,180
SP00733;SP;6587,000;4986,000;1601,000;4131,000;6,000;0,145;0,897;0,120
SP00735;SP;5909,000;4419,000;1490,000;3878,000;1,000;0,026;0,149;0,023
SP00736;SP;6501,000;5079,000;1422,000;4352,000;6,000;0,138;0,897;0,118
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,149;0,021
SP00738;SP;8744,000;6776,000;1968,000;5693,000;3,000;0,053;0,448;0,044
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,149;0,033
SP00741;SP;4300,000;3373,000;927,000;2832,000;4,000;0,141;0,598;0,119
SP00742;SP;5088,000;4001,000;1087,000;3393,000;2,000;0,059;0,299;0,050
SP00743;SP;4240,000;3246,000;994,000;2798,000;1,000;0,036;0,149;0,031
SP00744;SP;5446,000;4215,000;1231,000;3568,000;1,000;0,028;0,149;0,024
SP00745;SP;4714,000;3481,000;1233,000;3072,000;1,000;0,033;0,149;0,029
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,149;0,026
SP00749;SP;1955,000;1539,000;416,000;1305,000;3,000;0,230;0,448;0,195
SP00750;SP;1353,000;1052,000;301,000;900,000;1,000;0,111;0,149;0,095
SP00755;SP;2817,000;2116,000;701,000;1822,000;2,000;0,110;0,299;0,095
SP00756;SP;3235,000;2278,000;957,000;1971,000;3,000;0,152;0,448;0,132
SP00757;SP;3284,000;2523,000;761,000;2167,000;8,000;0,369;1,196;0,317
SP00758;SP;4241,000;3341,000;900,000;2876,000;1,000;0,035;0,149;0,030
SP00759;SP;3490,000;2694,000;796,000;2242,000;1,000;0,045;0,149;0,037
SP00760;SP;6093,000;4322,000;1771,000;3614,000;7,000;0,194;1,046;0,162
SP00762;SP;4199,000;3275,000;924,000;2719,000;28,000;1,030;4,185;0,855
SP00763;SP;2894,000;2276,000;618,000;1887,000;5,000;0,265;0,747;0,220
SP00764;SP;1319,000;1062,000;257,000;886,000;1,000;0,113;0,149;0,094
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,149;0,018
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,149;0,022
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,149;0,024
SP00778;SP;7392,000;5180,000;2212,000;4241,000;1,000;0,024;0,149;0,019
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,149;0,020
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,149;0,025
SP00819;SP;1557,000;1232,000;325,000;1066,000;1,000;0,094;0,149;0,081
SP00949;SP;6028,000;4426,000;1602,000;3627,000;1,000;0,028;0,149;0,023
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;0,149;0,011
SP00959;SP;7126,000;5108,000;2018,000;4199,000;1,000;0,024;0,149;0,020
SP00963;SP;706,000;535,000;171,000;445,000;1,000;0,225;0,149;0,187
SP01053;SP;5114,000;3307,000;1807,000;2816,000;1,000;0,036;0,149;0,030
SP01060;SP;5345,000;3929,000;1416,000;3417,000;1,000;0,029;0,149;0,025
SP01164;SP;5708,000;3888,000;1820,000;3284,000;1,000;0,030;0,149;0,026
SP01170;SP;7817,000;5560,000;2257,000;4585,000;2,000;0,044;0,299;0,036
SP01175;SP;4660,000;3409,000;1251,000;2858,000;1,000;0,035;0,149;0,029
SP01176;SP;8236,000;5751,000;2485,000;4720,000;2,000;0,042;0,299;0,035
SP01177;SP;4264,000;3029,000;1235,000;2602,000;1,000;0,038;0,149;0,033
SP01178;SP;7018,000;4887,000;2131,000;4032,000;1,000;0,025;0,149;0,020
SP01179;SP;3692,000;2867,000;825,000;2431,000;1,000;0,041;0,149;0,035
SP01184;SP;4359,000;3297,000;1062,000;2764,000;2,000;0,072;0,299;0,061
SP01245;SP;7927,000;6126,000;1801,000;5200,000;1,000;0,019;0,149;0,016
SP01260;SP;5635,000;4150,000;1485,000;3295,000;1,000;0,030;0,149;0,024
SP01267;SP;3668,000;2674,000;994,000;2188,000;1,000;0,046;0,149;0,037
SP01273;SP;6832,000;4837,000;1995,000;4051,000;1,000;0,025;0,149;0,021
SP01274;SP;6482,000;4544,000;1938,000;3933,000;2,000;0,051;0,299;0,044
SP01275;SP;8215,000;5845,000;2370,000;4919,000;8,000;0,163;1,196;0,137
SP01276;SP;5814,000;4245,000;1569,000;3567,000;10,000;0,280;1,495;0,236
SP01277;SP;5451,000;4180,000;1271,000;3551,000;13,000;0,366;1,943;0,311
SP01278;SP;6124,000;4326,000;1798,000;3583,000;4,000;0,112;0,598;0,092
SP01279;SP;7160,000;5349,000;1811,000;4413,000;1,000;0,023;0,149;0,019
SP01280;SP;5845,000;4462,000;1383,000;3757,000;18,000;0,479;2,691;0,403
SP01281;SP;6196,000;4845,000;1351,000;4089,000;3,000;0,073;0,448;0,062
SP01282;SP;8652,000;6512,000;2140,000;5430,000;4,000;0,074;0,598;0,061
SP01283;SP;4641,000;3663,000;978,000;3179,000;7,000;0,220;1,046;0,191
SP01284;SP;2886,000;2225,000;661,000;1912,000;1,000;0,052;0,149;0,045
SP01285;SP;4343,000;3311,000;1032,000;2805,000;49,000;1,747;7,324;1,480
SP01286;SP;5329,000;4185,000;1144,000;3573,000;1,000;0,028;0,149;0,024
SP01287;SP;4630,000;3599,000;1031,000;3061,000;6,000;0,196;0,897;0,167
SP01288;SP;3628,000;2787,000;841,000;2393,000;7,000;0,293;1,046;0,251
SP01289;SP;8261,000;6336,000;1925,000;5214,000;2,000;0,038;0,299;0,032
SP01290;SP;5911,000;4545,000;1366,000;3870,000;4,000;0,103;0,598;0,088
SP01291;SP;2147,000;1685,000;462,000;1455,000;4,000;0,275;0,598;0,237
SP01292;SP;5775,000;4372,000;1403,000;3718,000;14,000;0,377;2,093;0,320
SP01293;SP;8374,000;6450,000;1924,000;5532,000;1,000;0,018;0,149;0,016
SP01298;SP;4397,000;3285,000;1112,000;2749,000;8,000;0,291;1,196;0,244
SP01301;SP;2227,000;1757,000;470,000;1464,000;4,000;0,273;0,598;0,228
SP01302;SP;2717,000;2088,000;629,000;1784,000;1,000;0,056;0,149;0,048
SP01303;SP;4518,000;3486,000;1032,000;2977,000;14,000;0,470;2,093;0,402
SP01305;SP;3647,000;2691,000;956,000;2223,000;13,000;0,585;1,943;0,483
SP01306;SP;10069,000;7542,000;2527,000;6154,000;2,000;0,032;0,299;0,027
SP01307;SP;5091,000;3887,000;1204,000;3217,000;4,000;0,124;0,598;0,103
SP01308;SP;4137,000;3151,000;986,000;2579,000;7,000;0,271;1,046;0,222
SP01309;SP;3292,000;2582,000;710,000;2150,000;3,000;0,140;0,448;0,116
SP01310;SP;5036,000;3741,000;1295,000;3075,000;1,000;0,033;0,149;0,027
SP01311;SP;289,000;233,000;56,000;207,000;4,000;1,932;0,598;1,717
SP01318;SP;5897,000;4085,000;1812,000;3426,000;2,000;0,058;0,299;0,049
SP01322;SP;6445,000;4994,000;1451,000;4166,000;1,000;0,024;0,149;0,020
SP01323;SP;6741,000;5078,000;1663,000;4301,000;1,000;0,023;0,149;0,020
SP01328;SP;6187,000;4762,000;1425,000;4004,000;1,000;0,025;0,149;0,021
SP01332;SP;5043,000;3673,000;1370,000;3047,000;1,000;0,033;0,149;0,027
SP01339;SP;6726,000;4990,000;1736,000;3954,000;1,000;0,025;0,149;0,020
SP01340;SP;6735,000;5134,000;1601,000;4118,000;2,000;0,049;0,299;0,039
SP01341;SP;3295,000;2546,000;749,000;2084,000;1,000;0,048;0,149;0,039
SP01347;SP;7950,000;5978,000;1972,000;5066,000;1,000;0,020;0,149;0,017
SP01358;SP;931,000;614,000;317,000;523,000;1,000;0,191;0,149;0,163
