CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,206;0,018
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,206;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,412;0,033
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,206;0,045
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,206;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;4,000;0,034;0,825;0,032
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,206;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,206;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,206;0,019
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,412;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,206;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,412;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;4,000;0,080;0,825;0,074
SP00041;SP;4585,000;3191,000;1394,000;2950,000;3,000;0,102;0,619;0,094
SP00042;SP;3797,000;2921,000;876,000;2677,000;3,000;0,112;0,619;0,103
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,206;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,206;0,039
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,206;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,412;0,046
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,412;0,056
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,206;0,052
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,206;0,010
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,206;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,206;0,018
SP00097;SP;4480,000;3320,000;1160,000;2831,000;4,000;0,141;0,825;0,120
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,206;0,043
SP00107;SP;5091,000;3438,000;1653,000;3201,000;3,000;0,094;0,619;0,087
SP00108;SP;7706,000;4996,000;2710,000;4672,000;4,000;0,086;0,825;0,080
