CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,207;0,018
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,207;0,032
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,207;0,034
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,207;0,029
SP00221;SP;3925,000;2950,000;975,000;2531,000;2,000;0,079;0,414;0,068
SP00222;SP;5627,000;4034,000;1593,000;3525,000;7,000;0,199;1,449;0,174
SP00224;SP;4682,000;3295,000;1387,000;2841,000;3,000;0,106;0,621;0,091
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,207;0,029
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,207;0,027
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,207;0,032
SP00231;SP;4477,000;3485,000;992,000;2989,000;2,000;0,067;0,414;0,057
SP00232;SP;6760,000;5102,000;1658,000;4371,000;3,000;0,069;0,621;0,059
SP00233;SP;2180,000;1518,000;662,000;1306,000;1,000;0,077;0,207;0,066
SP00235;SP;6359,000;4733,000;1626,000;4005,000;2,000;0,050;0,414;0,042
SP00236;SP;4570,000;3488,000;1082,000;2996,000;2,000;0,067;0,414;0,057
SP00237;SP;4589,000;3414,000;1175,000;2908,000;10,000;0,344;2,070;0,293
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,207;0,021
SP00239;SP;5869,000;4516,000;1353,000;3700,000;11,000;0,297;2,277;0,244
SP00240;SP;3251,000;2449,000;802,000;2056,000;3,000;0,146;0,621;0,122
SP00243;SP;3895,000;2713,000;1182,000;2275,000;2,000;0,088;0,414;0,074
SP00245;SP;1860,000;1458,000;402,000;1167,000;2,000;0,171;0,414;0,137
