CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,699;0,018
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,699;0,024
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;1,399;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,699;0,016
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;1,399;0,048
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,699;0,028
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,699;0,045
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,699;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,699;0,012
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;1,399;0,042
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,699;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,699;0,017
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;1,399;0,020
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,699;0,030
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,699;0,033
SP00108;SP;7706,000;4996,000;2710,000;4672,000;3,000;0,064;2,098;0,060
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,699;0,035
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,699;0,028
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,699;0,034
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,699;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;5,000;0,068;3,497;0,062
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;1,399;0,027
SP00119;SP;8699,000;5629,000;3070,000;5241,000;4,000;0,076;2,797;0,071
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,699;0,017
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,699;0,019
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,699;0,026
SP00147;SP;7272,000;5483,000;1789,000;5016,000;2,000;0,040;1,399;0,036
SP00172;SP;4627,000;3517,000;1110,000;2935,000;2,000;0,068;1,399;0,057
