CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,402;0,045
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,134;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;3,000;0,063;0,402;0,057
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,134;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,134;0,034
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,134;0,031
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,134;0,024
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,134;0,026
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,268;0,039
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,134;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,134;0,019
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,268;0,051
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,134;0,018
SP00043;SP;3049,000;2192,000;857,000;1985,000;3,000;0,151;0,402;0,137
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,268;0,035
SP00060;SP;6204,000;4150,000;2054,000;3582,000;3,000;0,084;0,402;0,072
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,134;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;2,000;0,073;0,268;0,064
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,134;0,065
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,134;0,020
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,268;0,036
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,134;0,021
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,134;0,034
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,134;0,035
SP00105;SP;3570,000;2330,000;1240,000;2184,000;2,000;0,092;0,268;0,086
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,268;0,023
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,134;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,268;0,027
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,134;0,057
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,134;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,134;0,018
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,268;0,055
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,134;0,026
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,134;0,020
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,134;0,026
SP00142;SP;4541,000;2990,000;1551,000;2638,000;4,000;0,152;0,535;0,134
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,268;0,035
SP00145;SP;4652,000;3551,000;1101,000;3217,000;5,000;0,155;0,669;0,141
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,134;0,019
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,134;0,027
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,134;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;2,000;0,050;0,268;0,042
SP00159;SP;8207,000;5759,000;2448,000;4847,000;3,000;0,062;0,402;0,052
SP00161;SP;7454,000;5453,000;2001,000;4461,000;3,000;0,067;0,402;0,055
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,134;0,020
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,134;0,023
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,134;0,026
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,268;0,041
SP00169;SP;6507,000;4898,000;1609,000;3997,000;2,000;0,050;0,268;0,041
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,134;0,089
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,134;0,031
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,134;0,022
SP00188;SP;4302,000;3191,000;1111,000;2652,000;2,000;0,075;0,268;0,063
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,134;0,026
SP00197;SP;4829,000;3340,000;1489,000;3099,000;2,000;0,065;0,268;0,060
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,268;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;3,000;0,060;0,402;0,055
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,134;0,028
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,134;0,029
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,134;0,131
SP00216;SP;2036,000;1558,000;478,000;1384,000;2,000;0,145;0,268;0,128
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,134;0,029
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,134;0,021
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,134;0,021
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,134;0,034
SP00252;SP;4288,000;3078,000;1210,000;2638,000;2,000;0,076;0,268;0,065
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,134;0,012
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,134;0,025
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,134;0,067
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,134;0,023
SP00322;SP;8258,000;5548,000;2710,000;4975,000;2,000;0,040;0,268;0,036
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,134;0,037
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,134;0,030
SP00335;SP;4066,000;2940,000;1126,000;2443,000;2,000;0,082;0,268;0,068
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,134;0,037
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,134;0,027
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,134;0,027
SP00348;SP;4643,000;3365,000;1278,000;3024,000;2,000;0,066;0,268;0,059
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,134;0,030
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,134;0,028
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,134;0,054
SP00400;SP;2153,000;1503,000;650,000;1323,000;1,000;0,076;0,134;0,067
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,134;0,020
SP00442;SP;3055,000;2335,000;720,000;2045,000;1,000;0,049;0,134;0,043
SP00443;SP;5342,000;3920,000;1422,000;3502,000;2,000;0,057;0,268;0,051
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,134;0,033
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,134;0,021
SP00451;SP;1835,000;1413,000;422,000;1250,000;1,000;0,080;0,134;0,071
SP00454;SP;6000,000;4085,000;1915,000;3524,000;3,000;0,085;0,402;0,073
SP00455;SP;4145,000;2936,000;1209,000;2668,000;4,000;0,150;0,535;0,136
SP00456;SP;4320,000;3095,000;1225,000;2792,000;3,000;0,107;0,402;0,097
SP00458;SP;8529,000;5970,000;2559,000;5339,000;6,000;0,112;0,803;0,101
SP00459;SP;4392,000;3188,000;1204,000;2896,000;2,000;0,069;0,268;0,063
SP00460;SP;6386,000;4591,000;1795,000;4104,000;1,000;0,024;0,134;0,022
SP00462;SP;5168,000;3650,000;1518,000;3226,000;2,000;0,062;0,268;0,055
SP00463;SP;1010,000;644,000;366,000;583,000;1,000;0,172;0,134;0,155
SP00464;SP;4296,000;3192,000;1104,000;2765,000;3,000;0,108;0,402;0,094
SP00465;SP;7597,000;5474,000;2123,000;4737,000;2,000;0,042;0,268;0,037
SP00467;SP;5303,000;3827,000;1476,000;3421,000;4,000;0,117;0,535;0,105
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,134;0,026
SP00471;SP;3265,000;2247,000;1018,000;1966,000;1,000;0,051;0,134;0,045
SP00473;SP;5477,000;3996,000;1481,000;3538,000;2,000;0,057;0,268;0,050
SP00475;SP;5821,000;4091,000;1730,000;3609,000;4,000;0,111;0,535;0,098
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,134;0,023
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,134;0,050
SP00479;SP;2742,000;2051,000;691,000;1807,000;2,000;0,111;0,268;0,098
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,134;0,074
SP00482;SP;6633,000;4865,000;1768,000;4345,000;2,000;0,046;0,268;0,041
SP00486;SP;4286,000;3178,000;1108,000;2833,000;5,000;0,176;0,669;0,157
SP00488;SP;1859,000;1441,000;418,000;1270,000;1,000;0,079;0,134;0,069
SP00493;SP;1172,000;862,000;310,000;755,000;1,000;0,132;0,134;0,116
SP00498;SP;3111,000;2164,000;947,000;1894,000;4,000;0,211;0,535;0,185
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,134;0,030
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,134;0,020
SP00504;SP;4008,000;3045,000;963,000;2673,000;3,000;0,112;0,402;0,099
SP00505;SP;2185,000;1532,000;653,000;1335,000;1,000;0,075;0,134;0,065
SP00514;SP;5514,000;3990,000;1524,000;3430,000;1,000;0,029;0,134;0,025
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,134;0,028
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,134;0,021
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,134;0,028
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,134;0,022
SP00527;SP;3105,000;2475,000;630,000;2136,000;3,000;0,140;0,402;0,121
SP00530;SP;1521,000;1164,000;357,000;979,000;2,000;0,204;0,268;0,172
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,134;0,019
SP00533;SP;2644,000;2087,000;557,000;1800,000;1,000;0,056;0,134;0,048
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;0,134;0,022
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,134;0,021
SP00555;SP;3492,000;2514,000;978,000;2184,000;1,000;0,046;0,134;0,040
SP00560;SP;4755,000;3443,000;1312,000;2876,000;4,000;0,139;0,535;0,116
SP00570;SP;1547,000;1176,000;371,000;988,000;1,000;0,101;0,134;0,085
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;0,134;0,027
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;0,134;0,030
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;0,134;0,017
SP00578;SP;2949,000;2238,000;711,000;2000,000;10,000;0,500;1,339;0,447
SP00579;SP;4397,000;3146,000;1251,000;2698,000;3,000;0,111;0,402;0,095
SP00583;SP;4985,000;3669,000;1316,000;3192,000;3,000;0,094;0,402;0,082
SP00589;SP;4702,000;3299,000;1403,000;2808,000;1,000;0,036;0,134;0,030
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,134;0,023
SP00597;SP;5301,000;3798,000;1503,000;3190,000;21,000;0,658;2,811;0,553
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,134;0,023
SP00601;SP;6122,000;4375,000;1747,000;3842,000;2,000;0,052;0,268;0,046
SP00610;SP;4996,000;3877,000;1119,000;3393,000;4,000;0,118;0,535;0,103
SP00614;SP;6485,000;4910,000;1575,000;4153,000;2,000;0,048;0,268;0,041
SP00621;SP;7468,000;5058,000;2410,000;4641,000;2,000;0,043;0,268;0,040
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,134;0,017
SP00624;SP;6339,000;4326,000;2013,000;3981,000;2,000;0,050;0,268;0,046
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,134;0,013
