CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,418;0,015
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,837;0,045
SP00022;SP;5474,000;3858,000;1616,000;3218,000;3,000;0,093;1,255;0,078
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,837;0,056
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,418;0,027
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,418;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,837;0,056
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,418;0,025
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,418;0,034
SP00076;SP;7781,000;5170,000;2611,000;4521,000;3,000;0,066;1,255;0,058
SP00077;SP;5316,000;3714,000;1602,000;3239,000;3,000;0,093;1,255;0,081
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,418;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;4,000;0,089;1,674;0,078
SP00081;SP;4985,000;3194,000;1791,000;2755,000;9,000;0,327;3,766;0,282
SP00082;SP;2042,000;1343,000;699,000;1191,000;7,000;0,588;2,929;0,521
SP00083;SP;12710,000;9298,000;3412,000;8373,000;5,000;0,060;2,092;0,054
SP00084;SP;8514,000;5960,000;2554,000;5282,000;4,000;0,076;1,674;0,067
SP00085;SP;7942,000;5522,000;2420,000;4861,000;3,000;0,062;1,255;0,054
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,837;0,035
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,418;0,034
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,418;0,035
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,418;0,058
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,418;0,027
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,418;0,023
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,418;0,021
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,418;0,026
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,418;0,025
SP00227;SP;5078,000;3646,000;1432,000;3077,000;2,000;0,065;0,837;0,055
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;0,418;0,029
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,418;0,020
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,418;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,418;0,021
SP00247;SP;3039,000;2356,000;683,000;1915,000;6,000;0,313;2,510;0,255
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,418;0,032
SP00254;SP;4716,000;3494,000;1222,000;2936,000;3,000;0,102;1,255;0,086
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,418;0,030
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,418;0,020
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,418;0,021
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,418;0,030
SP00271;SP;6516,000;4689,000;1827,000;3929,000;8,000;0,204;3,347;0,171
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,418;0,025
SP00275;SP;4248,000;3284,000;964,000;2804,000;6,000;0,214;2,510;0,183
SP00276;SP;4234,000;3269,000;965,000;2704,000;4,000;0,148;1,674;0,122
SP00279;SP;3855,000;2853,000;1002,000;2307,000;5,000;0,217;2,092;0,175
SP00283;SP;4282,000;3227,000;1055,000;2653,000;3,000;0,113;1,255;0,093
