CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,228;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,228;0,028
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,228;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,685;0,024
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,457;0,024
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,228;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;3,000;0,067;0,685;0,063
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,457;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,228;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,457;0,037
SP00041;SP;4585,000;3191,000;1394,000;2950,000;2,000;0,068;0,457;0,063
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,228;0,034
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,228;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;0,457;0,079
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,228;0,016
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,228;0,023
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,228;0,050
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,228;0,028
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,228;0,055
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,228;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,228;0,010
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,228;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,228;0,020
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,228;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,228;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,228;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,228;0,018
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,228;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;4,000;0,098;0,913;0,086
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,228;0,018
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,228;0,035
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,228;0,034
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,228;0,058
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,228;0,043
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,228;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,457;0,040
SP00110;SP;4331,000;2860,000;1471,000;2625,000;2,000;0,076;0,457;0,070
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,457;0,054
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,228;0,034
SP00114;SP;11524,000;7280,000;4244,000;6663,000;4,000;0,060;0,913;0,055
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,228;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,228;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,457;0,025
SP00119;SP;8699,000;5629,000;3070,000;5241,000;2,000;0,038;0,457;0,036
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,228;0,020
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,228;0,057
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,228;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;2,000;0,042;0,457;0,039
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,228;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,228;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,457;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;3,000;0,090;0,685;0,083
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,228;0,026
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,228;0,015
