CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,296;0,037
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,296;0,019
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,296;0,031
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,296;0,024
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,296;0,052
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,296;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,296;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,296;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,296;0,024
SP00092;SP;8010,000;5674,000;2336,000;5030,000;3,000;0,060;0,888;0,053
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,296;0,030
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,296;0,044
SP00115;SP;6789,000;4670,000;2119,000;4276,000;2,000;0,047;0,592;0,043
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,296;0,015
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,592;0,038
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,296;0,031
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,296;0,017
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,592;0,040
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,296;0,036
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,296;0,037
SP00174;SP;4271,000;3221,000;1050,000;2581,000;2,000;0,077;0,592;0,062
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,296;0,026
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,296;0,016
SP00198;SP;9846,000;7057,000;2789,000;6333,000;2,000;0,032;0,592;0,028
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,296;0,021
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,296;0,026
