CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,105;0,018
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,105;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,210;0,035
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,105;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,105;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,210;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,210;0,045
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,105;0,032
SP00018;SP;5238,000;3256,000;1982,000;2906,000;4,000;0,138;0,420;0,123
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,105;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;24,000;0,746;2,518;0,622
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,105;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,210;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;4,000;0,034;0,420;0,032
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,105;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,210;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,105;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,210;0,042
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,105;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,210;0,033
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,105;0,023
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,105;0,016
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,105;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,105;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,105;0,028
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,105;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,105;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,105;0,010
SP00077;SP;5316,000;3714,000;1602,000;3239,000;4,000;0,123;0,420;0,108
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,105;0,020
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;0,210;0,063
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,210;0,036
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,105;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,105;0,020
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,105;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,105;0,028
SP00098;SP;5038,000;3701,000;1337,000;3156,000;3,000;0,095;0,315;0,081
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,105;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,210;0,029
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,210;0,071
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,105;0,043
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,105;0,035
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,105;0,014
SP00119;SP;8699,000;5629,000;3070,000;5241,000;3,000;0,057;0,315;0,053
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,105;0,020
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,105;0,017
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,105;0,018
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,105;0,028
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,105;0,030
SP00134;SP;5615,000;3841,000;1774,000;3504,000;2,000;0,057;0,210;0,052
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,105;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,105;0,018
SP00149;SP;3452,000;2590,000;862,000;2234,000;2,000;0,090;0,210;0,077
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,105;0,018
SP00169;SP;6507,000;4898,000;1609,000;3997,000;3,000;0,075;0,315;0,061
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,210;0,031
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,105;0,050
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,105;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;2,000;0,059;0,210;0,052
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,105;0,016
SP00193;SP;4453,000;3011,000;1442,000;2715,000;2,000;0,074;0,210;0,066
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,105;0,015
SP00201;SP;9459,000;6572,000;2887,000;5989,000;3,000;0,050;0,315;0,046
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,105;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,105;0,021
SP00207;SP;4643,000;3544,000;1099,000;3043,000;2,000;0,066;0,210;0,056
SP00212;SP;5586,000;4124,000;1462,000;3719,000;3,000;0,081;0,315;0,073
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,105;0,029
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,105;0,026
SP00225;SP;4793,000;3416,000;1377,000;2882,000;3,000;0,104;0,315;0,088
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,105;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,105;0,022
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,105;0,041
SP00261;SP;5727,000;3983,000;1744,000;3376,000;2,000;0,059;0,210;0,050
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,105;0,021
SP00275;SP;4248,000;3284,000;964,000;2804,000;4,000;0,143;0,420;0,122
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,105;0,035
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,105;0,022
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,105;0,067
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,105;0,035
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,105;0,026
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,105;0,031
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,105;0,023
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,105;0,031
SP00313;SP;5494,000;4051,000;1443,000;3634,000;2,000;0,055;0,210;0,049
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,105;0,054
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,105;0,015
SP00330;SP;4062,000;2873,000;1189,000;2547,000;2,000;0,079;0,210;0,070
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,105;0,044
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,105;0,036
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,105;0,019
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,105;0,026
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,105;0,033
SP00383;SP;3490,000;2283,000;1207,000;2113,000;1,000;0,047;0,105;0,044
SP00386;SP;2170,000;1708,000;462,000;1625,000;1,000;0,062;0,105;0,059
SP00389;SP;2663,000;1942,000;721,000;1788,000;2,000;0,112;0,210;0,103
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,105;0,032
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,105;0,054
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,105;0,020
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,105;0,019
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,105;0,058
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,105;0,033
SP00417;SP;1590,000;1256,000;334,000;1074,000;2,000;0,186;0,210;0,159
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,105;0,013
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,105;0,028
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,105;0,031
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,105;0,028
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;0,105;0,055
SP00456;SP;4320,000;3095,000;1225,000;2792,000;2,000;0,072;0,210;0,065
SP00458;SP;8529,000;5970,000;2559,000;5339,000;2,000;0,037;0,210;0,034
SP00460;SP;6386,000;4591,000;1795,000;4104,000;1,000;0,024;0,105;0,022
SP00462;SP;5168,000;3650,000;1518,000;3226,000;1,000;0,031;0,105;0,027
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,105;0,026
SP00471;SP;3265,000;2247,000;1018,000;1966,000;1,000;0,051;0,105;0,045
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,105;0,028
SP00482;SP;6633,000;4865,000;1768,000;4345,000;3,000;0,069;0,315;0,062
SP00497;SP;6925,000;4935,000;1990,000;4441,000;1,000;0,023;0,105;0,020
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,105;0,021
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,105;0,019
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,105;0,028
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,105;0,021
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,105;0,024
SP00524;SP;2811,000;2096,000;715,000;1775,000;1,000;0,056;0,105;0,048
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,105;0,030
SP00539;SP;5948,000;4112,000;1836,000;3697,000;2,000;0,054;0,210;0,049
SP00542;SP;4842,000;3391,000;1451,000;2867,000;1,000;0,035;0,105;0,029
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,105;0,018
SP00544;SP;5536,000;3707,000;1829,000;3265,000;1,000;0,031;0,105;0,027
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,105;0,021
SP00546;SP;4580,000;3085,000;1495,000;2705,000;2,000;0,074;0,210;0,065
SP00548;SP;4404,000;2954,000;1450,000;2590,000;2,000;0,077;0,210;0,068
