CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,645;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,645;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;1,290;0,035
SP00014;SP;7153,000;4433,000;2720,000;3934,000;3,000;0,076;1,935;0,068
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;1,935;0,094
SP00017;SP;6847,000;4140,000;2707,000;3704,000;5,000;0,135;3,226;0,121
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,645;0,031
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,645;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;1,290;0,073
SP00022;SP;5474,000;3858,000;1616,000;3218,000;10,000;0,311;6,452;0,259
SP00023;SP;2029,000;1448,000;581,000;1264,000;3,000;0,237;1,935;0,207
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,645;0,008
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,645;0,025
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,645;0,074
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,645;0,061
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,645;0,017
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,645;0,028
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;1,290;0,029
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,645;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,645;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,645;0,026
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,645;0,039
SP00155;SP;6109,000;4286,000;1823,000;3668,000;2,000;0,055;1,290;0,047
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,645;0,020
SP00179;SP;3023,000;2176,000;847,000;1776,000;5,000;0,282;3,226;0,230
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,645;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;2,000;0,032;1,290;0,028
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,645;0,015
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,645;0,046
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,645;0,032
SP00260;SP;6967,000;4886,000;2081,000;4112,000;2,000;0,049;1,290;0,041
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,645;0,037
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,645;0,021
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,645;0,045
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,645;0,024
SP00458;SP;8529,000;5970,000;2559,000;5339,000;2,000;0,037;1,290;0,034
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,645;0,021
SP00522;SP;4695,000;3519,000;1176,000;2921,000;2,000;0,068;1,290;0,057
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;0,645;0,030
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,645;0,026
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,645;0,023
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,645;0,033
SP00622;SP;8525,000;5893,000;2632,000;5358,000;2,000;0,037;1,290;0,034
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,645;0,030
SP00661;SP;3498,000;2295,000;1203,000;2021,000;1,000;0,049;0,645;0,044
SP00666;SP;4794,000;3234,000;1560,000;2902,000;1,000;0,034;0,645;0,031
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,645;0,036
SP00696;SP;1384,000;1069,000;315,000;972,000;1,000;0,103;0,645;0,094
SP00699;SP;2845,000;1980,000;865,000;1691,000;1,000;0,059;0,645;0,051
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;0,645;0,024
SP00727;SP;5267,000;3869,000;1398,000;3416,000;1,000;0,029;0,645;0,026
SP00763;SP;2894,000;2276,000;618,000;1887,000;1,000;0,053;0,645;0,044
SP00791;SP;1168,000;863,000;305,000;759,000;2,000;0,264;1,290;0,232
SP00808;SP;5967,000;4362,000;1605,000;3844,000;1,000;0,026;0,645;0,023
SP00811;SP;4790,000;3322,000;1468,000;2896,000;1,000;0,035;0,645;0,030
SP00853;SP;4081,000;3040,000;1041,000;2553,000;1,000;0,039;0,645;0,033
SP00911;SP;2895,000;2154,000;741,000;1865,000;1,000;0,054;0,645;0,046
SP00947;SP;6568,000;4904,000;1664,000;4056,000;1,000;0,025;0,645;0,020
SP00982;SP;5546,000;3870,000;1676,000;3467,000;1,000;0,029;0,645;0,026
SP01020;SP;1678,000;1325,000;353,000;1100,000;1,000;0,091;0,645;0,075
SP01070;SP;3112,000;2381,000;731,000;2017,000;1,000;0,050;0,645;0,042
SP01134;SP;4563,000;3326,000;1237,000;2843,000;1,000;0,035;0,645;0,030
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;0,645;0,027
SP01146;SP;4300,000;3212,000;1088,000;2676,000;2,000;0,075;1,290;0,062
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;0,645;0,021
SP01266;SP;2296,000;1623,000;673,000;1294,000;2,000;0,155;1,290;0,123
SP01306;SP;10069,000;7542,000;2527,000;6154,000;1,000;0,016;0,645;0,013
SP01320;SP;8209,000;6019,000;2190,000;5015,000;1,000;0,020;0,645;0,017
SP01338;SP;10511,000;7553,000;2958,000;6278,000;3,000;0,048;1,935;0,040
SP01352;SP;9339,000;6776,000;2563,000;5651,000;2,000;0,035;1,290;0,030
SP01362;SP;7767,000;5488,000;2279,000;4591,000;1,000;0,022;0,645;0,018
SP01364;SP;3423,000;2550,000;873,000;2100,000;1,000;0,048;0,645;0,039
SP01365;SP;4472,000;3176,000;1296,000;2649,000;2,000;0,076;1,290;0,063
SP01370;SP;6243,000;4702,000;1541,000;3926,000;2,000;0,051;1,290;0,043
SP01371;SP;7808,000;5764,000;2044,000;4744,000;1,000;0,021;0,645;0,017
SP01393;SP;4576,000;3329,000;1247,000;2824,000;2,000;0,071;1,290;0,060
SP01438;SP;7108,000;5103,000;2005,000;4345,000;1,000;0,023;0,645;0,020
SP01445;SP;5567,000;4250,000;1317,000;3503,000;2,000;0,057;1,290;0,047
SP01448;SP;2723,000;2084,000;639,000;1723,000;1,000;0,058;0,645;0,048
SP01454;SP;4757,000;3785,000;972,000;3186,000;3,000;0,094;1,935;0,079
SP01459;SP;4391,000;3272,000;1119,000;2705,000;2,000;0,074;1,290;0,061
SP01461;SP;6903,000;5217,000;1686,000;4301,000;1,000;0,023;0,645;0,019
SP01462;SP;7003,000;5161,000;1842,000;4135,000;1,000;0,024;0,645;0,019
SP01472;SP;3226,000;2317,000;909,000;1968,000;1,000;0,051;0,645;0,043
SP01548;SP;5863,000;4587,000;1276,000;3782,000;1,000;0,026;0,645;0,022
SP01557;SP;2937,000;1989,000;948,000;1611,000;1,000;0,062;0,645;0,050
SP01564;SP;1289,000;964,000;325,000;782,000;1,000;0,128;0,645;0,104
SP01624;SP;7719,000;5518,000;2201,000;4630,000;1,000;0,022;0,645;0,018
SP01627;SP;4603,000;3009,000;1594,000;2576,000;1,000;0,039;0,645;0,033
SP01632;SP;5894,000;4098,000;1796,000;3431,000;1,000;0,029;0,645;0,024
SP01661;SP;4921,000;3565,000;1356,000;3038,000;1,000;0,033;0,645;0,028
SP01706;SP;6272,000;4442,000;1830,000;3788,000;1,000;0,026;0,645;0,023
SP01828;SP;8402,000;6116,000;2286,000;5090,000;1,000;0,020;0,645;0,016
SP01839;SP;3350,000;2459,000;891,000;2084,000;1,000;0,048;0,645;0,041
SP01845;SP;6584,000;4733,000;1851,000;3854,000;1,000;0,026;0,645;0,021
SP01858;SP;8697,000;5871,000;2826,000;5026,000;1,000;0,020;0,645;0,017
SP01863;SP;5889,000;4259,000;1630,000;3651,000;1,000;0,027;0,645;0,023
SP01884;SP;7365,000;5467,000;1898,000;4519,000;1,000;0,022;0,645;0,018
SP01922;SP;4328,000;3109,000;1219,000;2674,000;1,000;0,037;0,645;0,032
SP01927;SP;6734,000;4883,000;1851,000;4168,000;1,000;0,024;0,645;0,020
SP01931;SP;5097,000;3731,000;1366,000;3193,000;1,000;0,031;0,645;0,027
SP01933;SP;4814,000;3526,000;1288,000;2989,000;1,000;0,033;0,645;0,028
SP01938;SP;7268,000;5458,000;1810,000;4494,000;1,000;0,022;0,645;0,018
SP01943;SP;3522,000;2387,000;1135,000;1965,000;1,000;0,051;0,645;0,042
SP01948;SP;4518,000;3392,000;1126,000;2842,000;1,000;0,035;0,645;0,029
SP01949;SP;4412,000;3284,000;1128,000;2711,000;1,000;0,037;0,645;0,030
SP01954;SP;2478,000;1836,000;642,000;1560,000;1,000;0,064;0,645;0,054
SP01962;SP;7108,000;5093,000;2015,000;4362,000;1,000;0,023;0,645;0,020
SP01991;SP;6762,000;5186,000;1576,000;4448,000;1,000;0,022;0,645;0,019
SP02023;SP;6925,000;5198,000;1727,000;4333,000;1,000;0,023;0,645;0,019
