CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;7,000;0,115;0,129;0,106
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,037;0,036
SP00005;SP;7574,000;4851,000;2723,000;4286,000;12,000;0,280;0,220;0,247
SP00006;SP;6187,000;4196,000;1991,000;3800,000;6,000;0,158;0,110;0,143
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,055;0,052
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,037;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,037;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,018;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,018;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,018;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,018;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,018;0,031
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,018;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,018;0,026
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,018;0,220
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,018;0,045
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,037;0,103
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,055;0,024
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,018;0,021
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,018;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,018;0,018
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,018;0,030
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,018;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,018;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,037;0,037
SP00056;SP;5794,000;3640,000;2154,000;3156,000;3,000;0,095;0,055;0,082
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,018;0,029
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,018;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,018;0,025
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,018;0,043
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,018;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,018;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,055;0,031
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,018;0,027
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,018;0,020
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;0,037;0,063
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,018;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,037;0,022
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,037;0,036
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,018;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,018;0,018
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,018;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,018;0,034
SP00105;SP;3570,000;2330,000;1240,000;2184,000;2,000;0,092;0,037;0,086
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,018;0,033
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,018;0,044
SP00110;SP;4331,000;2860,000;1471,000;2625,000;2,000;0,076;0,037;0,070
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,037;0,054
SP00114;SP;11524,000;7280,000;4244,000;6663,000;6,000;0,090;0,110;0,082
SP00115;SP;6789,000;4670,000;2119,000;4276,000;4,000;0,094;0,073;0,086
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,037;0,023
